"","Date","Team","Opponent","Time"
"4763","8/7","Jefferson County Warriors","vsScreven County","5:30pm"
"4764","8/8","Jefferson County Warriors","vsPortal","5:30pm"
"4765","8/10","Jefferson County Warriors","vsEvans***","10:00am"
"4766","8/10","Jefferson County Warriors","@Portal","12:00pm"
"4767","8/13","Jefferson County Warriors","vsWashington County*","5:30pm"
"4768","8/14","Jefferson County Warriors","@Screven County","5:30pm"
"4769","8/19","Jefferson County Warriors","@Jenkins County","5:30pm"
"4770","8/20","Jefferson County Warriors","@Northeast*","5:30pm"
"4771","8/21","Jefferson County Warriors","vsBurke County","5:30pm"
"4772","8/22","Jefferson County Warriors","vsDublin*","5:30pm"
"4773","8/27","Jefferson County Warriors","@Bleckley County*","5:30pm"
"4774","8/28","Jefferson County Warriors","@Glascock County","5:30pm"
"4775","8/29","Jefferson County Warriors","vsCentral*","5:30pm"
"4776","9/3","Jefferson County Warriors","@Dodge County*","5:30pm"
"4777","9/5","Jefferson County Warriors","vsEast Laurens*","5:30pm"
"4778","9/9","Jefferson County Warriors","vsJenkins County","5:30pm"
"4779","9/10","Jefferson County Warriors","@Southwest*","4:30pm"
"4780","9/12","Jefferson County Warriors","@Washington County*","5:30pm"
"4781","9/16","Jefferson County Warriors","vsSouthwest*","5:30pm"
"4782","9/17","Jefferson County Warriors","vsACE*","4:00pm"
"4783","9/17","Jefferson County Warriors","vsACE*","6:00pm"
"4784","9/19","Jefferson County Warriors","vsNortheast*","5:30pm"
"4785","9/24","Jefferson County Warriors","@Dublin*","5:30pm"
"4786","9/25","Jefferson County Warriors","@Burke County","5:00pm"
"4787","9/26","Jefferson County Warriors","vsBleckley County*","5:30pm"
"4788","10/1","Jefferson County Warriors","@Central*","4:30pm"
"4789","10/3","Jefferson County Warriors","vsDodge County*","5:30pm"
"4790","10/8","Jefferson County Warriors","@East Laurens*","6:00pm"
"4791","8/8","New Manchester Jaguar","vsSouth Cobb","5:30pm"
"4792","8/13","New Manchester Jaguar","vsKennesaw Mountain*","5:45pm"
"4793","8/15","New Manchester Jaguar","vsVilla Rica*","7:00pm"
"4794","8/19","New Manchester Jaguar","vsDouglas County","5:30pm"
"4795","8/20","New Manchester Jaguar","@Alexander*","5:30pm"
"4796","8/22","New Manchester Jaguar","vsRome*","6:00pm"
"4797","8/26","New Manchester Jaguar","vsWashington","5:30pm"
"4798","8/27","New Manchester Jaguar","@South Paulding*","5:30pm"
"4799","8/29","New Manchester Jaguar","@Lithia Springs*","5:30pm"
"4800","9/4","New Manchester Jaguar","@South Cobb","5:30pm"
"4801","9/5","New Manchester Jaguar","vsEast Paulding*","6:00pm"
"4802","9/10","New Manchester Jaguar","@Kennesaw Mountain*","5:45pm"
"4803","9/12","New Manchester Jaguar","@Villa Rica*","7:00pm"
"4804","9/17","New Manchester Jaguar","vsAlexander*","5:30pm"
"4805","9/18","New Manchester Jaguar","vsSouth Paulding*","5:30pm"
"4806","9/19","New Manchester Jaguar","@Rome*","4:30pm"
"4807","9/23","New Manchester Jaguar","@Douglas County","5:30pm"
"4808","9/26","New Manchester Jaguar","vsLithia Springs*","5:30pm"
"4809","9/30","New Manchester Jaguar","@Chapel Hill","5:30pm"
"4810","10/1","New Manchester Jaguar","@East Paulding*","6:00pm"
"4811","8/1","Seckinger Jaguars","@North Forsyth","6:30pm"
"4812","8/3","Seckinger Jaguars","vsHebron Christian","10:00am"
"4813","8/3","Seckinger Jaguars","vsFlowery Branch","2:00pm"
"4814","8/5","Seckinger Jaguars","@Winder-Barrow","6:30pm"
"4815","8/8","Seckinger Jaguars","vsLoganville","4:30pm"
"4816","8/13","Seckinger Jaguars","vsJackson County","6:30pm"
"4817","8/15","Seckinger Jaguars","vsWalnut Grove","6:30pm"
"4818","8/19","Seckinger Jaguars","vsCherokee Bluff","6:30pm"
"4819","8/20","Seckinger Jaguars","@Johns Creek*","6:00pm"
"4820","8/22","Seckinger Jaguars","vsLanier*","6:30pm"
"4821","8/27","Seckinger Jaguars","vsRoswell*","6:30pm"
"4822","8/29","Seckinger Jaguars","@Chattahoochee*","6:00pm"
"4823","9/3","Seckinger Jaguars","vsMilton*","6:30pm"
"4824","9/5","Seckinger Jaguars","@Gainesville*","5:00pm"
"4825","9/12","Seckinger Jaguars","vsJohns Creek*","6:00pm"
"4826","9/13","Seckinger Jaguars","vsOpponent TBA",""
"4827","9/14","Seckinger Jaguars","vsOpponent TBA",""
"4828","9/17","Seckinger Jaguars","@Lanier*","6:30pm"
"4829","9/19","Seckinger Jaguars","@Roswell*","6:30pm"
"4830","9/23","Seckinger Jaguars","@Cherokee Bluff","6:30pm"
"4831","9/24","Seckinger Jaguars","vsChattahoochee*","6:30pm"
"4832","9/26","Seckinger Jaguars","@Milton*","6:30pm"
"4833","9/30","Seckinger Jaguars","@Madison County","6:00pm"
"4834","10/1","Seckinger Jaguars","vsGainesville*","5:00pm"
"4835","10/2","Seckinger Jaguars","vsDacula","6:00pm"
"4836","10/7","Seckinger Jaguars","@Hebron Christian","5:30pm"
"4837","10/9","Seckinger Jaguars","@Peachtree Ridge","6:00pm"
"4838","10/10","Seckinger Jaguars","vsNorth Hall","6:00pm"
"4839","8/27","Stephenson Jaguars","@Mt. Zion*","5:30pm"
"4840","9/19","Stephenson Jaguars","vsMt. Zion*","5:30pm"
"4841","8/5","Cedar Shoals Jaguars","vsClarke Central","5:30pm"
"4842","8/6","Cedar Shoals Jaguars","@Athens Christian","5:00pm"
"4843","8/8","Cedar Shoals Jaguars","vsOglethorpe County","6:00pm"
"4844","8/12","Cedar Shoals Jaguars","@Gainesville","5:30pm"
"4845","8/14","Cedar Shoals Jaguars","@Lithonia","5:30pm"
"4846","8/15","Cedar Shoals Jaguars","vsEastside*","6:30pm"
"4847","8/19","Cedar Shoals Jaguars","vsEast Jackson","5:30pm"
"4848","8/20","Cedar Shoals Jaguars","@Flowery Branch*","6:30pm"
"4849","8/22","Cedar Shoals Jaguars","vsMadison County*","6:30pm"
"4850","8/26","Cedar Shoals Jaguars","@Discovery","6:30pm"
"4851","8/27","Cedar Shoals Jaguars","@Walnut Grove*","6:00pm"
"4852","8/29","Cedar Shoals Jaguars","vsNorth Oconee*","6:30pm"
"4853","9/3","Cedar Shoals Jaguars","@Towns County","5:30pm"
"4854","9/5","Cedar Shoals Jaguars","@East Forsyth*","6:30pm"
"4855","9/9","Cedar Shoals Jaguars","@Clarke Central","5:30pm"
"4856","9/12","Cedar Shoals Jaguars","@Eastside*","6:30pm"
"4857","9/16","Cedar Shoals Jaguars","vsGainesville","5:00pm"
"4858","9/17","Cedar Shoals Jaguars","vsFlowery Branch*","6:30pm"
"4859","9/19","Cedar Shoals Jaguars","@Madison County*","6:30pm"
"4860","9/23","Cedar Shoals Jaguars","vsDiscovery","6:30pm"
"4861","9/24","Cedar Shoals Jaguars","vsWalnut Grove*","6:30pm"
"4862","9/26","Cedar Shoals Jaguars","@North Oconee*","6:30pm"
"4863","9/30","Cedar Shoals Jaguars","@East Jackson","5:30pm"
"4864","10/1","Cedar Shoals Jaguars","vsEast Forsyth*","6:30pm"
"4865","10/2","Cedar Shoals Jaguars","vsLithonia","5:30pm"
"4866","10/7","Cedar Shoals Jaguars","vsTowns County","5:30pm"
"4867","8/1","Spalding Jaguars","vsManchester","5:55pm"
"4868","8/6","Spalding Jaguars","vsUpson-Lee*","5:30pm"
"4869","8/8","Spalding Jaguars","@Trinity Christian*","5:30pm"
"4870","8/9","Spalding Jaguars","vsManchester","5:30pm"
"4871","8/10","Spalding Jaguars","vsCallaway","12:00pm"
"4872","8/12","Spalding Jaguars","vsLuella","5:30pm"
"4873","8/13","Spalding Jaguars","vsLaGrange*","5:30pm"
"4874","8/15","Spalding Jaguars","@Fayette County*","5:55pm"
"4875","8/20","Spalding Jaguars","vsSandy Creek*","5:30pm"
"4876","8/22","Spalding Jaguars","@Whitewater*","6:00pm"
"4877","8/24","Spalding Jaguars","vsShaw","10:00am"
"4878","8/24","Spalding Jaguars","vsTaylor County","1:30pm"
"4879","8/27","Spalding Jaguars","vsMary Persons*","5:30pm"
"4880","8/28","Spalding Jaguars","@Crawford County","6:00pm"
"4881","8/29","Spalding Jaguars","@Troup County*","5:30pm"
"4882","9/3","Spalding Jaguars","@Manchester","5:55pm"
"4883","9/4","Spalding Jaguars","vsLocust Grove","5:30pm"
"4884","9/5","Spalding Jaguars","@Upson-Lee*","5:30pm"
"4885","9/9","Spalding Jaguars","@Peach County","6:30pm"
"4886","9/10","Spalding Jaguars","vsTrinity Christian*","5:30pm"
"4887","9/12","Spalding Jaguars","@LaGrange*","5:30pm"
"4888","9/16","Spalding Jaguars","vsCrawford County","6:00pm"
"4889","9/17","Spalding Jaguars","vsFayette County*","5:30pm"
"4890","9/19","Spalding Jaguars","@Sandy Creek*","6:00pm"
"4891","9/23","Spalding Jaguars","vsPeach County","6:00pm"
"4892","9/24","Spalding Jaguars","vsWhitewater*","5:30pm"
"4893","9/26","Spalding Jaguars","@Mary Persons*","5:30pm"
"4894","10/1","Spalding Jaguars","vsTroup County*","5:30pm"
"4895","10/2","Spalding Jaguars","@Locust Grove","5:30pm"
"4896","8/20","Jordan Red Jackets","@Hardaway*","5:30pm"
"4897","8/29","Jordan Red Jackets","@Sumter County*","5:30pm"
"4898","9/3","Jordan Red Jackets","@Spencer","5:30pm"
"4899","9/5","Jordan Red Jackets","vsHardaway*","5:30pm"
"4900","9/17","Jordan Red Jackets","vsSumter County*","5:30pm"
"4901","9/24","Jordan Red Jackets","@Hardaway*","5:30pm"
"4902","10/3","Jordan Red Jackets","@Sumter County*","5:30pm"
"4903","10/8","Jordan Red Jackets","@KKendrick","5:30pm"
"4904","8/1","Southeast Bulloch Yellow Jackets","@Savannah Christian","4:00pm"
"4905","8/6","Southeast Bulloch Yellow Jackets","@Burke County","6:05pm"
"4906","8/8","Southeast Bulloch Yellow Jackets","vsWayne County","5:30pm"
"4907","8/13","Southeast Bulloch Yellow Jackets","@Burke County","5:00pm"
"4908","8/14","Southeast Bulloch Yellow Jackets","vsStatesboro","6:00pm"
"4909","8/16","Southeast Bulloch Yellow Jackets","@Lanier County","5:00pm"
"4910","8/17","Southeast Bulloch Yellow Jackets","@Camden County","9:30am"
"4911","8/17","Southeast Bulloch Yellow Jackets","@Crisp County","11:30am"
"4912","8/20","Southeast Bulloch Yellow Jackets","@Calvary Day*","4:30pm"
"4913","8/22","Southeast Bulloch Yellow Jackets","@Long County*","5:30pm"
"4914","8/26","Southeast Bulloch Yellow Jackets","@Wayne County","5:30pm"
"4915","8/27","Southeast Bulloch Yellow Jackets","vsJenkins*","5:00pm"
"4916","8/29","Southeast Bulloch Yellow Jackets","@Liberty County*","4:30pm"
"4917","8/29","Southeast Bulloch Yellow Jackets","@Liberty County*","6:30pm"
"4918","9/3","Southeast Bulloch Yellow Jackets","vsIslands*","5:00pm"
"4919","9/5","Southeast Bulloch Yellow Jackets","vsCalvary Day*","5:00pm"
"4920","9/10","Southeast Bulloch Yellow Jackets","vsLong County*","5:00pm"
"4921","9/11","Southeast Bulloch Yellow Jackets","vsScreven County","5:00pm"
"4922","9/12","Southeast Bulloch Yellow Jackets","@Jenkins*","4:00pm"
"4923","9/12","Southeast Bulloch Yellow Jackets","@Jenkins*","6:00pm"
"4924","9/17","Southeast Bulloch Yellow Jackets","vsLiberty County*","5:00pm"
"4925","9/19","Southeast Bulloch Yellow Jackets","@Islands*","5:00pm"
"4926","9/24","Southeast Bulloch Yellow Jackets","@Calvary Day*","4:30pm"
"4927","9/26","Southeast Bulloch Yellow Jackets","@Long County*","5:30pm"
"4928","9/30","Southeast Bulloch Yellow Jackets","@Screven County","5:00pm"
"4929","10/2","Southeast Bulloch Yellow Jackets","vsSavannah Christian","5:00pm"
"4930","10/3","Southeast Bulloch Yellow Jackets","vsBryan County","5:00pm"
"4931","10/8","Southeast Bulloch Yellow Jackets","vsIslands*","5:00pm"
"4932","10/10","Southeast Bulloch Yellow Jackets","@Statesboro","5:00pm"
"4933","8/6","Sprayberry Yellow Jackets","vsKell","6:00pm"
"4934","8/7","Sprayberry Yellow Jackets","vsSouth Cobb","6:00pm"
"4935","8/8","Sprayberry Yellow Jackets","@Blessed Trinity","5:00pm"
"4936","8/12","Sprayberry Yellow Jackets","vsCentennial","6:00pm"
"4937","8/14","Sprayberry Yellow Jackets","@Walker","5:30pm"
"4938","8/15","Sprayberry Yellow Jackets","vsRiver Ridge*","5:30pm"
"4939","8/20","Sprayberry Yellow Jackets","@Riverwood*","5:30pm"
"4940","8/21","Sprayberry Yellow Jackets","@Mount Paran Christian","5:30pm"
"4941","8/22","Sprayberry Yellow Jackets","vsCreekview*","5:30pm"
"4942","8/24","Sprayberry Yellow Jackets","@Chattahoochee","12:00pm"
"4943","8/24","Sprayberry Yellow Jackets","@Chattahoochee","2:00pm"
"4944","8/26","Sprayberry Yellow Jackets","@Allatoona","5:30pm"
"4945","8/27","Sprayberry Yellow Jackets","vsSequoyah*","5:30pm"
"4946","8/29","Sprayberry Yellow Jackets","@Woodstock*","5:30pm"
"4947","9/3","Sprayberry Yellow Jackets","vsLassiter*","6:00pm"
"4948","9/5","Sprayberry Yellow Jackets","@Pope*","5:30pm"
"4949","9/9","Sprayberry Yellow Jackets","vsCarrollton","5:30pm"
"4950","9/10","Sprayberry Yellow Jackets","@River Ridge*","5:30pm"
"4951","9/12","Sprayberry Yellow Jackets","vsRiverwood*","5:30pm"
"4952","9/16","Sprayberry Yellow Jackets","@Kennesaw Mountain","5:30pm"
"4953","9/19","Sprayberry Yellow Jackets","@Creekview*","5:30pm"
"4954","9/24","Sprayberry Yellow Jackets","@Sequoyah*","5:30pm"
"4955","10/1","Sprayberry Yellow Jackets","vsWoodstock*","5:30pm"
"4956","10/2","Sprayberry Yellow Jackets","@Harrison","6:00pm"
"4957","10/3","Sprayberry Yellow Jackets","@Lassiter*","6:00pm"
"4958","10/7","Sprayberry Yellow Jackets","@Wheeler","5:30pm"
"4959","10/8","Sprayberry Yellow Jackets","vsPope*","5:30pm"
"4960","10/10","Sprayberry Yellow Jackets","@Etowah","5:30pm"
"4961","8/1","Wayne County Yellow Jackets","vsEffingham County","5:00pm"
"4962","8/3","Wayne County Yellow Jackets","vsThomas County Central","11:00am"
"4963","8/3","Wayne County Yellow Jackets","vsEmanuel County Institute","3:00pm"
"4964","8/5","Wayne County Yellow Jackets","@South Effingham","6:30pm"
"4965","8/7","Wayne County Yellow Jackets","vsRichmond Hill","5:30pm"
"4966","8/8","Wayne County Yellow Jackets","@Southeast Bulloch","5:30pm"
"4967","8/12","Wayne County Yellow Jackets","vsCamden County","6:30pm"
"4968","8/14","Wayne County Yellow Jackets","@Richmond Hill","5:30pm"
"4969","8/16","Wayne County Yellow Jackets","vsOpponent TBA",""
"4970","8/16","Wayne County Yellow Jackets","@East Coweta","6:40pm"
"4971","8/17","Wayne County Yellow Jackets","vsOpponent TBA",""
"4972","8/17","Wayne County Yellow Jackets","vsStrong Rock Christian***","12:30pm"
"4973","8/19","Wayne County Yellow Jackets","vsGlynn Academy","6:00pm"
"4974","8/20","Wayne County Yellow Jackets","vsAppling County","6:00pm"
"4975","8/22","Wayne County Yellow Jackets","@Pierce County","6:00pm"
"4976","8/26","Wayne County Yellow Jackets","vsSoutheast Bulloch","5:30pm"
"4977","8/27","Wayne County Yellow Jackets","@Glynn Academy","6:00pm"
"4978","8/29","Wayne County Yellow Jackets","vsWarner Robins*","4:00pm"
"4979","8/29","Wayne County Yellow Jackets","vsWarner Robins*","6:00pm"
"4980","9/3","Wayne County Yellow Jackets","@Appling County","6:00pm"
"4981","9/5","Wayne County Yellow Jackets","@Perry*","5:30pm"
"4982","9/9","Wayne County Yellow Jackets","vsSouth Effingham","6:30pm"
"4983","9/12","Wayne County Yellow Jackets","@Ware County*","5:30pm"
"4984","9/14","Wayne County Yellow Jackets","vsEast Laurens","10:00am"
"4985","9/16","Wayne County Yellow Jackets","@Cook","5:30pm"
"4986","9/19","Wayne County Yellow Jackets","@Cook","5:30pm"
"4987","9/24","Wayne County Yellow Jackets","vsPerry*","5:30pm"
"4988","9/25","Wayne County Yellow Jackets","vsJeff Davis","5:30pm"
"4989","10/1","Wayne County Yellow Jackets","vsWare County*","5:30pm"
"4990","10/7","Wayne County Yellow Jackets","@East Laurens","6:00pm"
"4991","10/9","Wayne County Yellow Jackets","vsEffingham County","5:30pm"
"4992","10/10","Wayne County Yellow Jackets","@Camden County","5:30pm"
"4993","7/30","Thomas County Central Yellow Jackets","@Tift County",NA
"4994","8/3","Thomas County Central Yellow Jackets","@Wayne County","11:00am"
"4995","8/3","Thomas County Central Yellow Jackets","@Emanuel County Institute","1:00pm"
"4996","8/6","Thomas County Central Yellow Jackets","vsBainbridge","6:00pm"
"4997","8/8","Thomas County Central Yellow Jackets","@Thomasville","5:30pm"
"4998","8/13","Thomas County Central Yellow Jackets","@Lowndes","5:00pm"
"4999","8/19","Thomas County Central Yellow Jackets","vsCairo","5:00pm"
"5000","8/20","Thomas County Central Yellow Jackets","vsNorthside*","5:00pm"
"5001","8/22","Thomas County Central Yellow Jackets","@Northside*","4:00pm"
"5002","8/22","Thomas County Central Yellow Jackets","@Northside*","5:30pm"
"5003","8/26","Thomas County Central Yellow Jackets","@Bainbridge","6:00pm"
"5004","8/27","Thomas County Central Yellow Jackets","@Veterans*","5:00pm"
"5005","8/29","Thomas County Central Yellow Jackets","vsVeterans*","4:00pm"
"5006","8/29","Thomas County Central Yellow Jackets","vsVeterans*","5:30pm"
"5007","9/5","Thomas County Central Yellow Jackets","vsLowndes","5:00pm"
"5008","9/10","Thomas County Central Yellow Jackets","@Coffee*","6:00pm"
"5009","9/12","Thomas County Central Yellow Jackets","vsCoffee*","4:00pm"
"5010","9/12","Thomas County Central Yellow Jackets","vsCoffee*","6:00pm"
"5011","9/16","Thomas County Central Yellow Jackets","@Cairo","5:00pm"
"5012","9/17","Thomas County Central Yellow Jackets","@Lee County*","5:00am"
"5013","9/19","Thomas County Central Yellow Jackets","vsLee County*","4:00pm"
"5014","9/19","Thomas County Central Yellow Jackets","vsLee County*","6:00pm"
"5015","9/24","Thomas County Central Yellow Jackets","@Houston County*","5:00pm"
"5016","9/26","Thomas County Central Yellow Jackets","vsHouston County*","4:00pm"
"5017","9/26","Thomas County Central Yellow Jackets","vsHouston County*","6:00pm"
"5018","9/28","Thomas County Central Yellow Jackets","@St. Pius X Catholic","12:00pm"
"5019","9/28","Thomas County Central Yellow Jackets","@Westminster","2:00pm"
"5020","9/30","Thomas County Central Yellow Jackets","@Colquitt County","5:00pm"
"5021","8/1","Kell Longhorns","vsWalton","6:00pm"
"5022","8/6","Kell Longhorns","@Sprayberry","6:00pm"
"5023","8/7","Kell Longhorns","vsRiverwood","6:00pm"
"5024","8/10","Kell Longhorns","vsCartersville","11:00am"
"5025","8/10","Kell Longhorns","vsTemple***","1:00pm"
"5026","8/13","Kell Longhorns","@Blessed Trinity*","5:00pm"
"5027","8/15","Kell Longhorns","vsCambridge*","6:00pm"
"5028","8/16","Kell Longhorns","vsCherokee","5:00pm"
"5029","8/16","Kell Longhorns","vsPickens","8:20pm"
"5030","8/17","Kell Longhorns","vsSonoraville","10:45am"
"5031","8/20","Kell Longhorns","@Westminster*","5:30pm"
"5032","8/22","Kell Longhorns","vsPope","6:00pm"
"5033","8/27","Kell Longhorns","@Centennial*","6:00pm"
"5034","8/29","Kell Longhorns","vsBlessed Trinity*","6:00pm"
"5035","9/3","Kell Longhorns","@Cambridge*","5:30pm"
"5036","9/5","Kell Longhorns","vsWestminster*","6:00pm"
"5037","9/7","Kell Longhorns","vsVilla Rica***","11:00am"
"5038","9/7","Kell Longhorns","vsTroup County","3:00pm"
"5039","9/10","Kell Longhorns","vsWheeler","6:00pm"
"5040","9/12","Kell Longhorns","vsCentennial*","6:00pm"
"5041","9/17","Kell Longhorns","@Blessed Trinity*","5:00pm"
"5042","9/19","Kell Longhorns","vsCambridge*","6:00pm"
"5043","9/24","Kell Longhorns","vsWestminster*","6:00pm"
"5044","9/30","Kell Longhorns","vsMilton","6:00pm"
"5045","10/1","Kell Longhorns","@Centennial*","6:00pm"
"5046","10/7","Kell Longhorns","@Hillgrove","6:00pm"
"5047","10/9","Kell Longhorns","@Riverwood","6:00pm"
"5048","10/10","Kell Longhorns","@Pope","5:30pm"
"5049","8/2","Kennesaw Mountain Mustangs","vsMcEachern","5:30pm"
"5050","8/6","Kennesaw Mountain Mustangs","@Etowah","5:30pm"
"5051","8/8","Kennesaw Mountain Mustangs","@Lovett","5:30pm"
"5052","8/12","Kennesaw Mountain Mustangs","vsWoodstock","5:45pm"
"5053","8/13","Kennesaw Mountain Mustangs","@New Manchester*","5:45pm"
"5054","8/15","Kennesaw Mountain Mustangs","vsEast Paulding*","5:30pm"
"5055","8/19","Kennesaw Mountain Mustangs","@Harrison","5:30pm"
"5056","8/20","Kennesaw Mountain Mustangs","@Lithia Springs*","6:00pm"
"5057","8/22","Kennesaw Mountain Mustangs","vsVilla Rica*","5:30pm"
"5058","8/23","Kennesaw Mountain Mustangs","vsPace Academy***","6:45pm"
"5059","8/24","Kennesaw Mountain Mustangs","vsWalton***","10:00am"
"5060","8/26","Kennesaw Mountain Mustangs","@Campbell","6:00pm"
"5061","8/27","Kennesaw Mountain Mustangs","@Alexander*","6:00pm"
"5062","8/29","Kennesaw Mountain Mustangs","vsRome*","5:30pm"
"5063","9/4","Kennesaw Mountain Mustangs","@Rome*","4:30pm"
"5064","9/5","Kennesaw Mountain Mustangs","@South Paulding*","5:55pm"
"5065","9/6","Kennesaw Mountain Mustangs","vsCampbell","5:00pm"
"5066","9/9","Kennesaw Mountain Mustangs","@Paulding County","5:45pm"
"5067","9/10","Kennesaw Mountain Mustangs","vsNew Manchester*","5:45pm"
"5068","9/12","Kennesaw Mountain Mustangs","@East Paulding*","6:00pm"
"5069","9/16","Kennesaw Mountain Mustangs","vsSprayberry","5:30pm"
"5070","9/17","Kennesaw Mountain Mustangs","vsLithia Springs*","5:30pm"
"5071","9/19","Kennesaw Mountain Mustangs","@Villa Rica*","6:00pm"
"5072","9/24","Kennesaw Mountain Mustangs","@Alexander*","6:00pm"
"5073","10/1","Kennesaw Mountain Mustangs","vsSouth Paulding*","5:30pm"
"5074","10/7","Kennesaw Mountain Mustangs","vsRoswell","5:30pm"
"5075","8/3","River Ridge Knights","@Denmark","12:00pm"
"5076","8/6","River Ridge Knights","vsMilton","5:30pm"
"5077","8/8","River Ridge Knights","vsBuford","5:30pm"
"5078","8/14","River Ridge Knights","@Mount Paran Christian","5:30pm"
"5079","8/15","River Ridge Knights","@Sprayberry*","5:30pm"
"5080","8/17","River Ridge Knights","vsEast Coweta","10:45pm"
"5081","8/22","River Ridge Knights","@Woodstock*","5:30pm"
"5082","8/29","River Ridge Knights","@Pope*","5:30pm"
"5083","9/2","River Ridge Knights","vsDenmark","5:30pm"
"5084","9/5","River Ridge Knights","vsRiverwood*","5:30pm"
"5085","9/10","River Ridge Knights","vsSprayberry*","5:30pm"
"5086","9/18","River Ridge Knights","@Buford","5:00pm"
"5087","9/20","River Ridge Knights","vsWoodstock*","5:30pm"
"5088","9/21","River Ridge Knights","@Mill Creek","11:00am"
"5089","9/21","River Ridge Knights","@Mill Creek","1:00pm"
"5090","9/24","River Ridge Knights","vsCherokee","Time TBA"
"5091","10/1","River Ridge Knights","vsPope*","5:30pm"
"5092","10/5","River Ridge Knights","vsEast Paulding","10:00am"
"5093","10/5","River Ridge Knights","vsNorth Cobb","12:00pm"
"5094","10/8","River Ridge Knights","@Riverwood*","5:30pm"
"5095","10/10","River Ridge Knights","vsNorth Forsyth","5:30pm"
"5096","8/5","Evans Knights","@Grovetown","5:00pm"
"5097","8/7","Evans Knights","@Glascock County","5:00pm"
"5098","8/9","Evans Knights","vsScreven County***","4:00pm"
"5099","8/9","Evans Knights","@Washington-Wilkes***","6:00pm"
"5100","8/10","Evans Knights","vsJefferson County***","10:00am"
"5101","8/10","Evans Knights","vsBurke County***","12:00pm"
"5102","8/14","Evans Knights","vsHarlem","5:00pm"
"5103","8/21","Evans Knights","vsGlascock County","5:00pm"
"5104","8/26","Evans Knights","@Screven County","6:00pm"
"5105","9/3","Evans Knights","vsScreven County","6:00pm"
"5106","9/7","Evans Knights","vsBrantley County***","10:00am"
"5107","9/7","Evans Knights","vsLincoln County***","12:00pm"
"5108","9/9","Evans Knights","@Greenbrier*","5:30pm"
"5109","9/11","Evans Knights","vsGreenbrier","5:00pm"
"5110","9/12","Evans Knights","@Greenbrier*","5:30pm"
"5111","9/16","Evans Knights","vsLakeside*","5:00pm"
"5112","9/18","Evans Knights","@Lakeside*","5:30pm"
"5113","9/19","Evans Knights","vsLakeside*","5:00pm"
"5114","9/24","Evans Knights","@Effingham County*","5:00pm"
"5115","9/26","Evans Knights","vsEffingham County*","4:00pm"
"5116","9/26","Evans Knights","vsEffingham County*","6:00pm"
"5117","8/20","Midtown Knights","@Drew*","5:30pm"
"5118","8/22","Midtown Knights","vsCreekside*","5:30pm"
"5119","8/26","Midtown Knights","vsKIPP Atlanta Collegiate","5:30pm"
"5120","8/28","Midtown Knights","vsRedan","5:30pm"
"5121","9/3","Midtown Knights","@Pace Academy*","6:00pm"
"5122","9/5","Midtown Knights","vsJackson*","5:30pm"
"5123","9/12","Midtown Knights","vsDrew*","5:30pm"
"5124","9/17","Midtown Knights","@Creekside*","5:30pm"
"5125","9/26","Midtown Knights","vsPace Academy*","5:55pm"
"5126","10/1","Midtown Knights","@Jackson*","5:30pm"
"5127","8/15","St Francis Knights","vsRoswell","4:45pm"
"5128","8/19","St Francis Knights","vsNorthview","4:30pm"
"5129","8/22","St Francis Knights","@King's Ridge Christian*","5:00pm"
"5130","8/24","St Francis Knights","vsStrong Rock Christian","1:00pm"
"5131","8/26","St Francis Knights","@Milton","5:00pm"
"5132","8/29","St Francis Knights","vsWesleyan*","4:30pm"
"5133","9/5","St Francis Knights","vsMount Vernon*","4:30pm"
"5134","9/7","St Francis Knights","@Christian Heritage","11:00am"
"5135","9/7","St Francis Knights","@Christian Heritage","1:00pm"
"5136","9/9","St Francis Knights","@Northview","5:30pm"
"5137","9/14","St Francis Knights","vsLanier","10:00am"
"5138","9/17","St Francis Knights","@Whitefield Academy*","5:30pm"
"5139","9/18","St Francis Knights","@Riverwood","5:30pm"
"5140","9/19","St Francis Knights","vsLandmark Christian*","Time TBA"
"5141","9/30","St Francis Knights","vsGalloway*","4:30pm"
"5142","10/1","St Francis Knights","@Mount Paran Christian*","5:00pm"
"5143","7/31","Centennial Knights","vsChamblee","5:30pm"
"5144","8/1","Centennial Knights","vsForsyth Central","6:00pm"
"5145","8/3","Centennial Knights","@Johns Creek","12:00pm"
"5146","8/3","Centennial Knights","@Johns Creek","2:00pm"
"5147","8/6","Centennial Knights","@Roswell","6:00pm"
"5148","8/7","Centennial Knights","vsLakeside","5:30pm"
"5149","8/8","Centennial Knights","vsNorcross","6:00pm"
"5150","8/12","Centennial Knights","@Sprayberry","6:00pm"
"5151","8/13","Centennial Knights","@Cambridge*","5:30pm"
"5152","8/15","Centennial Knights","@Westminster*","5:30pm"
"5153","8/19","Centennial Knights","@Wheeler","6:00pm"
"5154","8/21","Centennial Knights","@North Springs","5:45pm"
"5155","8/22","Centennial Knights","vsBlessed Trinity*","6:00pm"
"5156","8/27","Centennial Knights","vsKell*","6:00pm"
"5157","8/28","Centennial Knights","@Dunwoody","5:30pm"
"5158","8/29","Centennial Knights","vsCambridge*","6:00pm"
"5159","9/3","Centennial Knights","vsWestminster*","6:00pm"
"5160","9/4","Centennial Knights","@Chattahoochee","6:00pm"
"5161","9/9","Centennial Knights","vsDuluth","6:00pm"
"5162","9/10","Centennial Knights","@Blessed Trinity*","5:00pm"
